type,air_temperature_k,process_temperature_k,torque_nm,tool_wear_min,log_rotational_speed,temp_diff,power_w,tool_wear_torque
1,302.0,310.9,47.2,54,7.284134806195205,8.899999999999977,7196.676675039404,2548.8
1,297.0,308.3,46.4,132,7.24422751560335,11.300000000000011,6797.736295935547,6124.8
1,301.0,311.6,45.6,137,7.213768308118642,10.600000000000023,6479.974671000451,6247.2
0,298.9,309.8,56.3,84,7.252762418053187,10.900000000000034,8318.864042877189,4729.2
0,297.1,308.5,28.7,50,7.458186157340487,11.399999999999977,5208.45693236203,1435.0
2,298.3,308.9,31.8,8,7.442492722794441,10.599999999999966,5681.130491045638,254.4
1,300.7,311.0,52.3,104,7.142036574706803,10.300000000000011,6917.252952453614,5439.2
2,297.6,309.0,40.2,51,7.254177846456518,11.399999999999977,5948.3543621599865,2050.2000000000003
1,303.9,313.2,40.6,79,7.3833681469923835,9.300000000000011,6836.608269035965,3207.4
2,297.3,308.6,42.0,109,7.266827347520591,11.300000000000011,6293.866722201792,4578.0
0,298.9,310.1,42.5,187,7.2909747781429814,11.200000000000045,6524.564342730401,7947.5
0,297.9,308.6,29.6,116,7.433666540166168,10.700000000000045,5241.600734857403,3433.6000000000004
0,299.2,310.7,36.3,175,7.340186835320115,11.5,5854.04375069922,6352.499999999999
0,298.4,308.4,40.1,179,7.323830566202317,10.0,6361.882203152011,7177.900000000001
1,300.4,309.8,47.2,0,7.259819610363186,9.400000000000034,7023.679639581725,0.0
0,298.7,309.9,33.0,203,7.388946097618437,11.199999999999989,5587.9508529401655,6699.0
0,297.7,308.7,60.4,143,7.1308988302963465,11.0,7900.016438325086,8637.199999999999
0,298.9,310.0,33.8,183,7.355641102974253,11.100000000000023,5535.821358841598,6185.4
0,298.1,308.7,32.9,10,7.358193752733032,10.599999999999966,5402.198951308912,329.0
0,304.1,313.2,50.1,43,7.268920128193722,9.099999999999966,7523.4232549637645,2154.3
0,302.5,311.1,34.2,201,7.360103972989152,8.600000000000023,5626.403947020104,6874.200000000001
2,299.2,308.8,21.3,104,7.554334823725748,9.600000000000023,4255.852735965021,2215.2000000000003
0,299.6,310.2,48.0,9,7.292337176173877,10.599999999999966,7378.972824751707,432.0
2,301.0,312.2,40.3,117,7.306531398939505,11.199999999999989,6283.886929538887,4715.099999999999
0,299.1,310.5,61.4,64,7.237059026124737,11.399999999999977,8930.982427478135,3929.6
0,302.4,310.2,45.1,168,7.20934025660291,7.800000000000011,6380.585151416381,7576.8
0,299.1,310.5,36.6,62,7.334981878871814,11.399999999999977,5871.762333265467,2269.2000000000003
0,300.6,309.6,30.0,147,7.454141078146678,9.0,5422.388920095983,4410.0
0,301.7,311.2,37.9,75,7.371489295214277,9.5,6306.548284546783,2842.5
0,296.8,307.5,54.8,43,7.206377291472252,10.699999999999989,7729.951556010758,2356.4
0,300.7,311.8,47.3,19,7.304515946460155,11.100000000000023,7360.5212038996215,898.6999999999999
0,299.6,311.0,38.3,124,7.266128779556451,11.399999999999977,5735.396268148646,4749.2
0,297.1,308.3,54.1,179,7.247080584585756,11.199999999999989,7948.4702690189515,9683.9
0,300.7,310.6,45.9,146,7.327123292259293,9.900000000000034,7306.087875188424,6701.4
1,298.9,308.2,63.6,30,7.224753405767971,9.300000000000011,9137.762055937417,1908.0
0,298.7,309.8,53.3,212,7.2115567333138015,11.100000000000023,7557.43623142663,11299.599999999999
0,299.7,309.1,55.3,139,7.206377291472252,9.400000000000034,7800.480311083849,7686.7
0,300.7,309.5,39.9,59,7.319202458767849,8.800000000000011,6300.903889745832,2354.1
1,303.0,312.8,32.1,104,7.407924322559599,9.800000000000011,5539.758821634097,3338.4
1,300.4,311.7,24.2,179,7.513709247839705,11.300000000000011,4642.687511377044,4331.8
1,302.0,311.1,48.8,159,7.249215057114389,9.100000000000023,7185.1156140741905,7759.2
0,298.3,308.1,58.4,90,7.190676034332207,9.800000000000011,8109.330284858261,5256.0
0,298.9,310.3,44.1,118,7.284134806195205,11.400000000000034,6724.013588331307,5203.8
0,298.0,308.5,26.7,203,7.440146680662688,10.5,4758.821719804747,5420.099999999999
0,302.6,311.4,25.8,128,7.461065514354283,8.799999999999955,4695.6757074675925,3302.4
0,297.1,308.2,50.8,49,7.206377291472252,11.099999999999966,7165.721515426031,2489.2
0,303.8,312.7,29.3,178,7.417580402414544,8.899999999999977,5105.632604810036,5215.400000000001
0,298.6,309.8,34.6,207,7.401231264413015,11.199999999999989,5931.347873928553,7162.200000000001
0,301.6,311.1,21.5,102,7.553810852008231,9.5,4293.56231978361,2193.0
1,302.3,311.2,36.7,78,7.317212408359839,8.899999999999977,5784.038594401728,2862.6000000000004
1,298.2,309.0,47.6,76,7.252053951852814,10.800000000000011,7028.371084611086,3617.6
0,296.8,307.9,28.4,118,7.444248649496705,11.099999999999966,5082.636146585759,3351.2
1,297.2,308.3,28.0,43,7.482681828154651,11.100000000000023,5207.503982590441,1204.0
0,300.2,310.2,31.5,23,7.3783837129967145,10.0,5277.875658030853,724.5
0,301.0,310.7,45.0,123,7.238496840894365,9.699999999999989,6554.933071715104,5535.0
2,298.7,309.3,45.3,190,7.246368080102461,10.600000000000023,6650.814479502664,8607.0
1,298.1,307.9,40.0,0,7.311218384419629,9.799999999999955,6266.430146360441,0.0
0,301.5,310.3,41.6,28,7.255591274253665,8.800000000000011,6164.223665363653,1164.8
0,301.1,311.1,29.1,170,7.445417556701687,10.0,5214.007079383371,4947.0
1,296.8,307.8,32.8,142,7.417580402414544,11.0,5715.520458626935,4657.599999999999
0,298.2,308.4,49.9,72,7.298445101508147,10.199999999999989,7718.086807755699,3592.7999999999997
1,297.4,309.0,37.0,147,7.327123292259293,11.600000000000023,5889.439027929666,5439.0
1,298.9,308.9,39.5,30,7.305188215393037,10.0,6150.871896585897,1185.0
0,299.3,309.1,39.1,147,7.347299700743164,9.800000000000011,6350.63530145216,5747.7
0,298.3,308.2,28.4,67,7.416979621381154,9.899999999999977,4945.830258497435,1902.8
1,301.0,311.0,38.6,199,7.261225091971921,10.0,5752.025765261648,7681.400000000001
0,301.5,311.1,49.6,129,7.268920128193722,9.600000000000023,7448.339190542969,6398.400000000001
1,300.5,311.6,39.1,199,7.29776828253138,11.100000000000023,6043.544619563757,7780.900000000001
0,300.6,310.0,49.5,174,7.262628600974241,9.399999999999977,7386.669726753,8613.0
1,301.3,310.8,41.2,56,7.283448228756631,9.5,6277.530440403125,2307.2000000000003
1,297.2,308.4,26.0,110,7.530479995245536,11.199999999999989,5072.41549848608,2860.0
0,298.8,308.8,44.4,55,7.329093736246592,10.0,7081.275504897538,2442.0
0,300.4,310.0,26.1,38,7.478734825567875,9.600000000000023,4835.005341654299,991.8000000000001
0,301.6,311.1,44.4,106,7.25063551189868,9.5,6546.576435256554,4706.4
1,298.7,309.6,50.4,32,7.261927092702751,10.900000000000034,7515.694937035934,1612.8
0,301.5,310.7,38.5,224,7.269616749608169,9.199999999999989,5785.504670973403,8624.0
1,298.0,308.1,36.6,190,7.347943823148687,10.100000000000023,5948.417194013057,6954.0
1,302.2,311.6,37.7,79,7.373374309910049,9.400000000000034,6285.112150673789,2978.3
0,300.6,310.4,47.3,118,7.3098814858247865,9.799999999999955,7400.147159236901,5581.4
1,297.5,309.4,48.3,139,7.2682230211595655,11.899999999999977,7248.062658876618,6713.7
0,297.3,308.7,40.2,112,7.307872780763706,11.399999999999977,6276.7136263131915,4502.400000000001
0,300.1,311.5,17.0,123,7.704811922932594,11.399999999999977,3948.5630865418916,2091.0
2,302.0,310.9,29.0,222,7.426549072397305,8.899999999999977,5098.909596531354,6438.0
0,299.2,308.4,48.4,35,7.2399325913204695,9.199999999999989,7060.331553873606,1694.0
1,302.1,310.7,47.8,213,7.21890970761906,8.599999999999966,6827.64425799772,10181.4
1,300.0,309.2,32.4,4,7.400009517162692,9.199999999999989,5547.424307708856,129.6
0,301.4,310.8,44.3,21,7.266827347520591,9.400000000000034,6638.530852227128,930.3
0,300.8,310.3,33.3,52,7.338238150065589,9.5,5359.776978509938,1731.6
2,299.7,309.2,32.8,142,7.360739903058278,9.5,5399.518125577849,4657.599999999999
1,296.8,307.9,25.2,116,7.519692404116539,11.099999999999966,4863.56241887543,2923.2
2,298.0,307.7,36.8,186,7.344719054149673,9.699999999999989,5961.653771060182,6844.799999999999
0,301.0,310.9,29.8,64,7.426549072397305,9.899999999999977,5239.569171608081,1907.2
0,295.7,306.1,54.4,119,7.203405521083095,10.400000000000034,7650.741533238246,6473.599999999999
1,299.3,310.7,48.9,222,7.226209010100671,11.399999999999977,7035.973738832773,10855.8
0,300.8,309.7,45.4,179,7.2254814727822945,8.899999999999977,6527.622159579896,8126.599999999999
0,298.6,309.7,33.4,99,7.395107546562485,11.099999999999966,5690.6599887615275,3306.6
0,300.4,311.5,44.6,149,7.30854279753919,11.100000000000023,6968.387608878545,6645.400000000001
0,300.4,310.5,14.5,12,7.793586803371584,10.100000000000023,3680.6899529458015,174.0
0,301.3,310.5,47.7,70,7.2196420401307355,9.199999999999989,6818.355615718608,3339.0
0,300.0,309.6,28.7,94,7.43543801981455,9.600000000000023,5091.244110456595,2697.7999999999997
0,301.4,310.3,16.6,169,7.698029170272805,8.900000000000034,3829.5805007749345,2805.4
0,302.4,310.9,39.6,86,7.293017679772782,8.5,6091.799482722897,3405.6
1,297.3,308.6,29.4,141,7.368339686311381,11.300000000000011,4876.757108020507,4145.4
1,304.2,313.6,43.7,151,7.261927092702751,9.400000000000034,6516.584697390285,6598.700000000001
0,298.9,310.0,27.3,58,7.450079569807499,11.100000000000023,4914.361972083978,1583.4
0,297.4,309.2,33.2,28,7.390798521735676,11.800000000000011,5632.247309355781,929.6000000000001
0,302.1,311.2,46.8,0,7.282761179605593,9.099999999999966,7125.886120578512,0.0
0,301.9,310.9,40.3,6,7.304515946460155,9.0,6271.22631114492,241.79999999999998
0,297.2,308.5,41.5,125,7.346655163176539,11.300000000000011,6736.098248072115,5187.5
1,298.0,308.9,51.4,68,7.200424892944957,10.899999999999977,7207.295258208536,3495.2
0,300.2,311.6,21.0,19,7.600902459542082,11.400000000000034,4396.030600168197,399.0
0,296.9,308.0,31.1,11,7.344072850573066,11.100000000000023,5034.988658006313,342.1
2,303.5,312.8,55.8,84,7.247792581767846,9.300000000000011,8204.080719290529,4687.2
0,297.2,308.5,39.6,181,7.3098814858247865,11.300000000000011,6195.47204029136,7167.6
0,302.1,311.5,20.1,21,7.59488438721652,9.399999999999977,4182.3708837975555,422.1
0,300.6,310.8,51.2,119,7.229113877793302,10.199999999999989,7388.355714810427,6092.8
0,302.6,312.4,41.6,40,7.243512974665482,9.799999999999955,6090.16585454303,1664.0
2,298.7,309.7,29.8,74,7.437206366871292,11.0,5295.740848254267,2205.2000000000003
0,296.7,308.0,50.7,197,7.280697195384741,11.300000000000011,7703.782089206355,9987.900000000001
1,300.5,311.9,44.8,20,7.223295679562314,11.399999999999977,6427.279690224237,896.0
0,301.3,311.1,35.3,55,7.353081920515432,9.800000000000011,5766.707474929423,1941.4999999999998
1,300.9,311.0,34.3,130,7.357556200910353,10.100000000000023,5628.487870146985,4459.0
0,303.7,312.7,53.9,123,7.241366283322318,9.0,7873.930747324777,6629.7
2,301.0,310.9,37.3,21,7.310550158534422,9.899999999999977,5839.540064615147,783.3
1,303.6,312.7,17.6,37,7.684783943522785,9.099999999999966,4006.82915829047,651.2
1,297.5,309.1,38.5,176,7.340186835320115,11.600000000000023,6208.8342810446275,6776.0
1,297.6,308.4,38.3,93,7.358830898342354,10.799999999999955,6292.892828479178,3561.8999999999996
0,302.3,311.7,18.2,91,7.682943169878292,9.399999999999977,4135.802008695843,1656.2
0,298.0,308.5,25.3,124,7.446585099157725,10.5,4538.438995155423,3137.2000000000003
0,302.7,312.4,46.3,251,7.298445101508147,9.699999999999989,7161.270925833444,11621.3
2,297.1,308.0,38.8,229,7.352441100243583,10.899999999999977,6334.4142113841235,8885.199999999999
0,300.3,309.2,32.4,50,7.408530566894626,8.899999999999977,5594.925188631134,1620.0
0,300.2,309.7,36.8,14,7.278628942320682,9.5,5580.138759208238,515.1999999999999
0,298.3,309.4,45.4,96,7.213031659834869,11.099999999999966,6446.799452578542,4358.4
0,301.8,310.7,30.8,74,7.37650812632622,8.899999999999977,5150.913426923777,2279.2000000000003
0,299.0,310.2,35.3,102,7.324489979348532,11.199999999999989,5604.056751277568,3600.6
1,302.2,311.3,37.1,10,7.32052696227274,9.100000000000023,5866.50540155846,371.0
1,299.2,308.4,51.2,56,7.193685818395112,9.199999999999989,7130.996444628352,2867.2000000000003
1,300.2,309.5,45.7,89,7.313886831633462,9.300000000000011,7178.539213452678,4067.3
0,301.6,310.7,29.7,131,7.428927194802272,9.099999999999966,5234.427431631706,3890.7
0,299.9,310.4,45.7,178,7.258412150595307,10.5,6790.8980959262335,8134.6
0,298.6,309.0,46.0,4,7.293017679772782,10.399999999999977,7076.3327324558895,184.0
0,300.9,311.0,15.8,156,7.71244383427499,10.100000000000023,3697.9687125405458,2464.8
0,301.9,310.8,58.2,79,7.244941546337007,8.900000000000034,8532.565647149877,4597.8
1,298.2,308.3,43.3,199,7.278628942320682,10.100000000000023,6565.761094394476,8616.699999999999
0,298.2,308.9,45.0,85,7.221105098182496,10.699999999999989,6441.835736185871,3825.0
1,298.6,309.1,37.3,203,7.370230641807081,10.5,6198.896376283771,7571.9
0,300.5,309.9,40.0,148,7.300472814267799,9.399999999999977,6199.409503083858,5920.0
0,300.8,310.2,22.8,33,7.523481312573497,9.399999999999977,4417.07927094725,752.4
0,298.1,308.6,42.4,14,7.351799869057777,10.5,6917.703247400629,593.6
0,297.1,308.1,36.6,227,7.277247726631484,11.0,5542.146432050826,8308.2
2,302.3,311.8,42.8,38,7.297091005160418,9.5,6610.958140704121,1626.3999999999999
0,301.1,310.6,35.2,70,7.385230923066573,9.5,5938.364097521571,2464.0
0,300.4,310.5,32.8,26,7.364547014255642,10.100000000000023,5420.126973385398,852.8
1,297.3,308.5,27.7,138,7.444833273892193,11.199999999999989,4960.260640752925,3822.6
0,302.5,310.5,41.2,154,7.327123292259293,8.0,6557.969944613575,6344.8
1,302.2,310.7,33.0,166,7.379008127628304,8.5,5532.658822236985,5478.0
0,297.2,308.6,31.3,192,7.400620577371135,11.400000000000034,5362.363556461394,6009.6
0,297.1,307.8,30.3,90,7.400620577371135,10.699999999999989,5191.042037085631,2727.0
1,296.2,307.2,34.8,8,7.347943823148687,11.0,5655.872086110775,278.4
0,300.3,311.4,52.7,13,7.1846291527173145,11.099999999999966,7273.6875829544,685.1
0,299.8,309.2,42.6,210,7.244941546337007,9.399999999999977,6245.486195336508,8946.0
2,298.6,309.5,50.4,82,7.259116128097101,10.899999999999977,7494.583434403809,4132.8
0,301.9,310.8,21.7,62,7.553286605600419,8.900000000000034,4331.230015700153,1345.3999999999999
0,302.1,310.8,35.3,6,7.356279876550748,8.699999999999989,5785.190511708043,211.79999999999998
0,302.4,311.1,20.9,77,7.552762084214147,8.700000000000045,4169.364690211693,1609.3
1,298.6,309.8,44.9,115,7.258412150595307,11.199999999999989,6672.020229914395,5163.5
0,296.9,307.8,52.1,100,7.1592919047975645,10.900000000000034,7010.830525628543,5210.0
0,298.3,308.5,31.6,144,7.417580402414544,10.199999999999989,5506.416051603998,4550.400000000001
0,296.8,307.9,56.5,5,7.198931240688173,11.099999999999966,7910.582661616658,282.5
2,302.2,311.2,28.2,122,7.4342573821331355,9.0,4996.640283681493,3440.4
0,298.7,309.9,47.1,64,7.247792581767846,11.199999999999989,6924.94985445491,3014.4
0,298.2,307.6,31.0,209,7.321188556739478,9.400000000000034,4905.178049559983,6479.0
0,300.5,309.7,42.8,196,7.365812837209472,9.199999999999989,7081.568720211872,8388.8
0,302.8,310.6,43.2,203,7.247792581767846,7.800000000000011,6351.5463633217005,8769.6
1,302.0,310.8,35.2,4,7.383989457978509,8.800000000000011,5930.991826761146,140.8
0,299.2,308.5,44.7,195,7.284820912568604,9.300000000000011,6820.17773945769,8716.5
1,299.2,308.5,28.9,150,7.463363045520021,9.300000000000011,5271.990407793128,4335.0
2,302.9,311.0,48.7,130,7.293017679772782,8.100000000000023,7491.682697186997,6331.0
0,297.8,308.5,40.0,192,7.278628942320682,10.699999999999989,6065.368216530695,7680.0
0,297.2,308.6,53.0,39,7.197435354096591,11.400000000000034,7409.446273491528,2067.0
2,297.5,308.6,38.7,7,7.337587743538596,11.100000000000023,6224.87734752896,270.90000000000003
1,303.6,312.5,33.7,14,7.382746449738912,8.899999999999977,5671.192586284783,471.80000000000007
0,296.8,307.9,30.8,48,7.4377951216719325,11.099999999999966,5476.675641150014,1478.4
2,301.2,309.8,27.0,151,7.444248649496705,8.600000000000023,4832.083660486461,4077.0
0,300.8,312.4,44.5,129,7.2196420401307355,11.599999999999966,6360.939725355934,5740.5
0,299.7,309.6,36.8,174,7.348587530927593,9.900000000000034,5984.775892990603,6403.2
1,298.1,307.4,56.2,190,7.197435354096591,9.299999999999955,7856.809067362715,10678.0
0,297.2,307.9,37.1,164,7.340186835320115,10.699999999999989,5983.058489006642,6084.400000000001
1,300.3,310.4,49.7,37,7.165493475060845,10.099999999999966,6729.511375475089,1838.9
2,298.3,309.0,38.4,10,7.293697720601438,10.699999999999989,5911.2207369945545,384.0
0,300.1,309.4,47.6,28,7.282073658093465,9.299999999999955,7242.711479390005,1332.8
1,299.9,309.1,56.8,10,7.204892510204673,9.200000000000045,8000.170412121527,568.0
0,301.3,311.0,36.9,206,7.3395376954076745,9.699999999999989,5946.940645465871,7601.4
0,299.4,308.6,40.5,181,7.30854279753919,9.200000000000045,6327.795922860561,7330.5
0,298.4,309.3,47.6,24,7.241366283322318,10.900000000000034,6953.601179455648,1142.4
0,302.3,311.5,47.3,2,7.23561914106675,9.199999999999989,6870.15000660079,94.6
